matchId,matchDate,matchType,accessId,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
652a7bdad1d5465477d6652b,2023-10-14T20:42:37,52,572f648df58ab6041348603e,코알라만세형님,202310,승,0,0,1,1,0,0,89,6,54,0,4.41111,keyboard,14,10,0,5,5,0,1,1,0,0,7,3,7,2,0,0,116,109,79,79,9,4,0,0,9,9,18,17,1,0,8,1,3,3
652a7bdad1d5465477d6652b,2023-10-14T20:42:37,52,1d8450ef71aa816cfd494356,산공유,202310,패,0,0,0,0,0,0,80,1,46,0,3.87222,keyboard,5,3,0,3,3,0,0,0,1,0,1,1,4,2,0,0,96,87,70,69,2,0,0,0,5,5,15,13,4,0,11,1,11,4
652a793038405e13a9fd3947,2023-10-14T20:29:46,52,e5d45133a4128079b45f5faf,DrinkingHot,202310,패,0,0,1,0,0,0,88,1,50,0,3.59444,keyboard,4,4,0,0,0,0,1,0,0,0,2,0,2,0,0,0,109,99,77,75,6,3,1,0,3,3,18,16,4,2,3,0,3,2
652a793038405e13a9fd3947,2023-10-14T20:29:46,52,1d8450ef71aa816cfd494356,산공유,202310,승,0,0,0,0,0,0,78,2,50,1,4.58333,keyboard,5,5,0,3,3,0,1,0,0,0,5,3,0,0,0,0,110,96,61,60,10,4,0,0,3,3,29,24,7,5,4,1,6,2
6528f1b2619db1403bf27722,2023-10-13T16:29:24,52,1d8450ef71aa816cfd494356,산공유,202310,패,2,0,0,0,0,0,0,0,0,0,0.0,etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528f1b2619db1403bf27722,2023-10-13T16:29:24,52,ba090d0b67efac59208f4f49,contractkiller,202310,승,1,0,1,0,0,0,79,3,54,1,4.62778,keyboard,10,8,0,3,3,0,2,0,0,0,7,2,3,1,0,0,97,82,46,46,12,4,2,1,9,7,18,17,10,7,4,1,18,17
6528ef213c8a0311c84b70ab,2023-10-13T16:28:37,52,02fcf177c1e7fe66fe9bc2a4,댜크류,202310,패,0,0,0,1,0,0,81,1,50,1,3.73333,keyboard,4,4,0,1,1,0,0,0,0,0,2,0,2,1,0,0,101,91,56,54,10,4,0,0,8,8,22,20,5,5,6,0,8,3
6528ef213c8a0311c84b70ab,2023-10-13T16:28:37,52,1d8450ef71aa816cfd494356,산공유,202310,승,0,0,0,0,0,0,85,3,50,1,4.43889,keyboard,8,8,0,3,3,0,3,0,0,0,6,2,2,1,0,0,109,102,61,60,9,3,1,1,4,4,30,30,4,4,8,0,4,4
6528ecc2f4d255442c736697,2023-10-13T16:17:37,52,72cadc6c1987f61d15d6bfae,자몽먹고잠옴,202310,승,0,0,0,0,0,0,84,0,49,0,4.41111,keyboard,2,2,0,2,2,0,1,1,0,0,2,2,0,0,0,0,108,101,74,74,9,4,0,0,8,8,12,12,4,3,7,1,6,4
6528ecc2f4d255442c736697,2023-10-13T16:17:37,52,1d8450ef71aa816cfd494356,산공유,202310,패,0,0,1,0,0,0,88,2,51,0,3.58889,keyboard,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,115,105,83,83,5,1,1,0,2,2,19,16,4,3,5,0,9,4
6528e952f5f05b1dbd48a85d,2023-10-13T16:03:20,52,6a02d894592abc372f9eda93,leo1219,202310,승,0,0,0,0,0,0,110,1,54,1,4.48333,keyboard,8,7,0,3,3,0,1,0,0,0,4,1,4,2,0,0,133,126,96,95,5,2,1,1,8,8,17,17,4,3,1,0,1,1
6528e952f5f05b1dbd48a85d,2023-10-13T16:03:20,52,1d8450ef71aa816cfd494356,산공유,202310,패,0,0,0,0,0,0,63,0,46,0,3.74444,keyboard,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,79,67,51,49,7,3,0,0,3,3,13,12,5,0,10,0,7,7
6528e87d6d333836588c35c5,2023-10-13T15:52:57,52,cb1f6f1d7644883347dbdcd4,난캐리한다,202310,패,2,0,0,0,0,0,26,0,48,0,4.17222,keyboard,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,29,28,17,17,2,1,0,0,2,2,8,8,0,0,2,0,0,0
6528e87d6d333836588c35c5,2023-10-13T15:52:57,52,1d8450ef71aa816cfd494356,산공유,202310,승,1,0,0,0,0,0,0,0,0,0,0.0,etc,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528e5e25c8c5b2d9866718c,2023-10-13T15:49:12,52,3dbf4413a18376ee863afc48,호찬이입니다,202310,패,0,0,1,0,0,0,76,6,53,1,3.95556,keyboard,15,7,0,0,0,0,6,0,0,0,12,0,3,0,0,0,98,91,51,51,14,9,1,1,12,12,17,16,3,2,6,3,6,2
6528e5e25c8c5b2d9866718c,2023-10-13T15:49:12,52,1d8450ef71aa816cfd494356,산공유,202310,승,0,0,0,0,0,0,77,2,47,0,4.28333,keyboard,6,4,0,1,1,0,1,0,1,0,5,1,1,0,0,0,93,83,60,59,5,3,0,0,5,5,17,15,5,1,12,2,6,3
6528e0795ba0ae270361a6d4,2023-10-13T15:20:28,52,213b8fdd8495c9a3d88190e9,K영진,202310,패,2,0,1,0,0,0,49,0,57,0,3.58889,keyboard,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,55,52,34,33,2,1,0,0,6,6,11,11,2,1,3,0,0,0
6528e0795ba0ae270361a6d4,2023-10-13T15:20:28,52,1d8450ef71aa816cfd494356,산공유,202310,승,1,0,0,0,0,0,0,0,0,0,0.0,etc,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528d7820f1a4330ce4806bc,2023-10-13T14:47:37,52,e29f06989ffb1f0cd46776be,감전동본도,202310,승,0,0,0,0,0,0,89,1,53,1,4.62778,keyboard,5,4,0,3,3,0,1,0,0,0,5,3,0,0,0,0,127,114,79,77,7,3,3,2,1,1,27,25,10,6,3,0,5,2
